source,date,doc_type,sent_monetary_policy,sent_monetary_policy_sd,sent_inflation,sent_inflation_sd,sent_labor_market,sent_labor_market_sd,sent_economic_activity,sent_economic_activity_sd,sent_financial_conditions,sent_financial_conditions_sd,sent_macro,sent_macro_sd,sent_total,sent_sd,sent_var,flag_elevated_wid,flag_skew_up,flag_skew_down,flag_unconditional_forward,flag_conditional,speaker_types_present
statement_20000202.txt,2000-02-02,statement,1.3862943611198906,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0,2,0,0,0,set()
speeches_aggregated,2000-02-02,speech,-5.886104031450156,3.442082316157967,-3.044522437723423,1.8516009594562668,-1.9459101490553132,1.7320458746024063,1.252762968495368,1.5606443746428669,-5.452468046375294,2.252221496416553,0.916290731874155,2.2185407845540652,-4.935911747900319,0.7865588138744052,0.6209349085982199,18,10,32,0,0,set()
speeches_aggregated,2000-03-21,speech,-0.6931471805599454,5.337007965768778,1.5040773967762742,2.15401495923538,-0.5108256237659906,2.6279000537835238,-1.163150809805681,4.402900960636789,-9.523690191176541,5.67172057405511,-1.6582280766035327,2.517645431740374,-6.658813034846287,0.6553114665221523,0.4918510920484693,24,9,25,0,0,set()
statement_20000321.txt,2000-03-21,statement,1.3862943611198906,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.408248290463863,0.16666666666666669,0,2,0,0,0,set()
speeches_aggregated,2000-05-16,speech,-2.890371757896165,7.3810718901257495,-4.1588830833596715,10.437349501979108,-0.036367644170874236,10.217800657636316,23.295702479219774,9.958230336287189,-7.89655270164304,9.503469092535155,9.21830854162536,7.742219010182316,10.122353547082577,0.8074590199630045,0.6584727004236536,28,19,49,1,0,set()
statement_20000516.txt,2000-05-16,statement,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0,2,0,0,0,set()
statement_20000628.txt,2000-06-28,statement,0.0,0.0,0.6931471805599453,0.7071067811865476,0.6931471805599453,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.816496580927726,0.6666666666666666,0,1,0,0,0,set()
speeches_aggregated,2000-06-28,speech,-1.3862943611198908,4.144307480065706,-2.0794415416798357,1.4473201306737433,3.1780538303479458,1.5299906313420326,3.768922161787473,1.5541433460615814,-6.674561391814426,5.743240296558962,3.960813169597578,1.6218824528935685,-0.8484133094710699,0.710530078903787,0.5193086114101397,14,9,35,2,0,set()
statement_20000822.txt,2000-08-22,statement,0.0,0.0,0.0,1.4142135623730951,-0.6931471805599453,0.0,-1.0986122886681098,0.0,0.0,0.0,0.0,0.0,-1.0986122886681098,0.8944271909999159,0.7999999999999999,0,1,1,0,0,set()
speeches_aggregated,2000-08-22,speech,0.0,1.1547005383792515,0.0,0.0,-1.3862943611198906,0.9749612559222293,0.980829253011726,0.6504436355879909,-3.6375861597263857,1.9070553322425305,0.0,1.4831632475943928,-1.299282984130261,0.8074872221117899,0.6541046319272126,4,0,4,0,0,set()
statement_20001003.txt,2000-10-03,statement,0.0,0.0,0.0,1.1547005383792515,0.6931471805599453,0.0,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0,0,0,set()
speeches_aggregated,2000-10-03,speech,-0.6931471805599453,2.121320343559643,0.0,0.0,1.791759469228055,1.0,-0.4054651081081645,0.8864052604279183,-2.5902671654458262,1.6498834394323993,0.0,0.7669649888473704,-2.772588722239781,0.7565206643251695,0.5783632658632659,5,0,5,0,0,set()
speeches_aggregated,2000-11-15,speech,-1.3862943611198906,2.4069300381276335,-0.8266785731844679,1.9384643511989774,1.09861228866811,0.5773502691896258,0.0,3.3029312676801195,-8.594154232552366,3.437651798924273,0.6931471805599453,1.1547005383792517,-7.3395376954076745,0.6985308362455847,0.4925287525432717,8,1,24,0,0,set()
